seq,부서,세부사업,개별사업,통계목추정,매칭상태,점수,조서구분,DB부서,DB세부사업,bgt_dgr,te_bgt_compo_id,기존구분글자수,기존검토글자수,비고,구분초안,검토내용초안
"29","건설안전시험사업소","폐아스콘활용 순환아스콘 공급 (중기주요사업)","폐아스콘활용 순환아스콘 공급(401-01)","40101","EXACT","1","투자심사조서","건설안전시험사업소","폐아스콘활용 순환아스콘 공급","1","R0000192475","108","216","","· 사업기간 : (계속) 2026년 | · 시행주체 : 부산광역시 | · 추경예산안 : 300,000천원(시비) | · 사업내용 | 건설안전시험사업소","○ 추진상황 | - ’26. 6.~12. 아스팔트(AP-3) 구입 및 순환아스콘 공급(26,500톤) | ○ 요구내용(사업설명서 기반 초안) | - 추경예산안 : 300,000천원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"30","도시공간전략과","도시건축디자인 계획 수립 용역","도시건축디자인 계획 수립 용역(207-01)","20701","UNMATCHED","0","경상심사조서","","","","","0","0","","· 사업기간 : (계속) 2025년 ~ 2027년 | · 시행주체 : 부산광역시 | · 추경예산안(비교증감) | ※ 재원부담 : 국비 50%, 시비 50% | · 사업내용 | · 2025년~2027, 도시공간전략과","○ 추진상황 | - ’25. 12. (국비)‘25년 4차 추경 예산 편성 / (시비) ’26년 본예산 편성 | - ’26. 1. ~ 2. 협상에 의한계약 적정성 검토, 사전규격 공개 | - ’26. 3. ~ 6. 제안서 평가 및 협상 완료, 용역 계약 및 착수 | - ’27. 6. 용역 완료 | ○ 요구내용(사업설명서 기반 초안) | - 추경예산안(비교증감) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"31","도시공간전략과","부산도시발전계획 추진","부산 도시공간 위크(201-03)","20103","UNMATCHED","0","경상심사조서","","","1","","0","0","부서불일치로 매칭 취소","· 사업기간 : (신규) 2026년 | · 시행주체 : 부산광역시 | · 추경예산안 : 50,000천원(시비) | · 사업내용 | 도시공간전략과","○ 추진상황 | - ’26. 6. 도시계획단체 Kick-off 회의 개최 | - ’26. 7. 도시계획단체 2차 회의 개최 | - ’26.8.~11. : 행사계획 수립 및 개최 | ○ 요구내용(사업설명서 기반 초안) | - 추경예산안 : 50,000천원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"32","15분도시과","15분 도시 부산 조성 (성인지예산, 중기주요사업)","신평장림생활권 보행안심길 조성사업(401-01)","40101","EXACT","1.08","투자심사조서","15분도시과","15분 도시 부산 조성","4","L0000000021","136","266","","· 위치(구간) : 사하구 다대로, 신평초등학교 일원 등 | · 사업규모 : 보행안심길 조성 및 안전시설 확충 등 | · 총사업비: 2,800백만원(공사 2,700, 설계비 100) | ※ 재원부담: 시비 100% | · 사업기간: (계속) 2025년 ~ 2026년(2년간) | · 사업내용 : 보행안심길 조성 및 안전시설 확충 등 | · 2025년~2026, 15분도시과","○ 요구내용(사업설명서 기반 초안) | - 『15분 도시 부산』을 위한 제2차 해피챌린지 조성사업 시행을 위한 공사비 예산 편성 | - 편성내용 | - 금회 신청예산(안) : 1,820 | 백만원(공사비, 시비 1,820) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"33","15분도시과","15분 도시 부산 조성 (성인지예산, 중기주요사업)","신평장림 주민휴게쉼터 조성사업(401-01)","40101","EXACT","1.08","투자심사조서","15분도시과","15분 도시 부산 조성","4","L0000000021","136","266","","· 위치(구간): 장림여중 인근 유휴지 일원 | · 사업규모: 휴게쉼터 조성 A = 2,140㎡ | · 총사업비: 1,500백만원(공사 1,400, 설계비 100) | ※ 재원부담: 전액시비 | · 사업기간: (계속) 2025년 ~ 2026년(2년간) | · 사업내용: 신평장림권 유휴부지를 활용해 주민 휴게쉼터 조성 | · 사업성과: 장림여중 옆 유휴부지와 | · 2025년~2026, 15분도시과","○ 요구내용(사업설명서 기반 초안) | -『15분 도시 부산』을 위한 제2차 해피챌린지 조성사업 시행을 위한 공사비 예산 편성 | - 편성내용 | - 금회 신청예산(안) : 1,400 | 백만원(공사비, 시비 1,400) [증 1,400] | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"34","15분도시과","15분 도시 부산 조성 (성인지예산, 중기주요사업)","대천공원 재정비사업(403-01)","40301","EXACT","1.08","투자심사조서","15분도시과","15분 도시 부산 조성","4","R1001281339","124","304","","· 위치(구간): 해운대구 좌동 1390번지 일원 | · 사업규모: A=103,418㎡ | · 총사업비: 5,000백만원(공사 4,800, 설계 200) | ※ 재원부담: 국비 40%, 시비 30%, 구․군비 30% | · 사업기간: (마무리) 2024년 ~ 2026년(3년간) | · 2024년~2026, 15분도시과","○ 요구내용(사업설명서 기반 초안) | 15분도시 비전투어 시즌2 정책사업으로 추진중인 대천공원 재정비사업 시행을 위한 공사비 예산편성 | - 편성내용 | - 금회 신청예산(안) : 700백만원(공사비, 시비) [증 700] | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"35","생활공간혁신과","설계공모 운영지원 (성인지예산, 중기주요사업)","설계공모 운영위원회 운영(201-01)","20101","LIKELY","0.8","경상심사조서","건축정책과","설계공모 운영지원","1","R0000240193","126","196","조직개편: 생활공간혁신과→건축정책과","· 사업기간 : (계속) 2026년 | · 시행주체: 부산광역시 | · 추경예산안: 13.000천원 (시비 13.000) | · 사업내용 | 생활공간혁신과","○ 추진상황 | - ’19. 8. ~ ‘20. 2. 설계공모 시범사업 추진 | - ’20. 3. ~ ‘25. 12. 2020~2025년도 공공건축 설계공모 운영위원회 운영 | - ’26. 1. ~ 12. 2026년도 공공건축 설계공모 운영위원회 운영 | ○ 요구내용(사업설명서 기반 초안) | - 추경예산안: 13.000천원 (시비 13.000) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"36","생활공간혁신과","설계공모 운영지원 (성인지예산, 중기주요사업)","설계공모 심사위원회 운영(201-01)","20101","LIKELY","0.8","경상심사조서","건축정책과","설계공모 운영지원","1","R0000240193","126","196","조직개편: 생활공간혁신과→건축정책과","· 사업기간 : (계속) 2026년 | · 시행주체: 부산광역시 | · 추경예산안: 19,000천원 (시비 19,000) | · 사업내용 | 생활공간혁신과","○ 추진상황 | - ’19. 8. ~ ‘20. 2. 설계공모 시범사업 추진 | - ’20. 3. ~ ‘25. 12. 2020~2025년도 공공건축 설계공모 심사위원회 운영 | - ’26. 1. ~ 12. 2026년도 공공건축 설계공모 심사위원회 운영 | ○ 요구내용(사업설명서 기반 초안) | - 추경예산안: 19,000천원 (시비 19,000) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"37","미래혁신기획과","사상재생사업지구 경쟁력강화사업(주차장) (중기주요사업)","사상재생산단 주차장 조성사업(401-01등)","40101","EXACT","1","투자심사조서","미래혁신기획과","사상재생사업지구 경쟁력강화사업(주차장, 공원)","1","R1003948694","142","385","","· 위치(구간): 부산광역시 사상구 학장동 230-17번지 일원 | · 사업규모: 주차장(지하1층)·공원(지상) 조성 1개소 (A=9,839㎡) | · 총사업비: 56,989백만원 | ※ 재원부담: 국비 50%, 시비 50% | · 사업기간: (계속) 2023년 ~ 2027년(5년간) | · 사업내용: 주차장·공원 조성을 통한 교통편의 증대 및 휴식·정서함양 공간제공 | · 2023년~2027, 미래혁신기획과","○ 요구내용(사업설명서 기반 초안) | - ’26년 하반기 보상완료 예정으로 보상완료에 따른 건축물 철거 등 공사비 편성 필요. | - 추경예산안(비교증감) | - 증 3 | ,675백만원(국비 2,375, 시비 1,300) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"38","철도시설과","부산 사상-하단 도시철도 건설(도시철도사업특별회계) (중기주요사업)","도시철도 사상~하단간 건설(502-01)","50201","EXACT","0.85","투자심사조서","철도시설과","도시철도 사상~하단선 건설","4","R1004769167","98","232","별칭/재매칭","· 위치(구간) : 사상구 사상역(2호선) ~ 사하구 하단역(1호선) | · 사업규모 : 경량전철(K-AGT) L=6.9Km, 정거장 7개소, 차량기지 1개소 | · 총사업비 : 846,682백만원(공사 751,885, 보상 35,801, 기타 58,996) | ※ 재원부담 : 국비 60%, 시비 40% | · 사업기간 : (계속) 2010년 ~ 2028년 | · 사업내용 : 도시철도 건설로 사상구, 사하구 지역의 대중교통망 확충 | · 2010년~2028, 철도시설과","○ 요구내용(사업설명서 기반 초안) | - ’ | 26년도 국비(30,000백만원)에 따른 미매칭 시비 (5,000백만원) 반영 필요 | ※ 국토교통부 등 중앙부처 요청사항(미매칭 시비 반영 요청) | - 추경예산안(비교증감) | - 증 5,000백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"39","철도시설과","도시철도 하단~녹산선 건설 (중기주요사업)","도시철도 하단~녹산선 건설(401-01, 502-01)","40101","EXACT","1","투자심사조서","철도시설과","도시철도 하단~녹산선 건설","4","R1004769221","125","313","","· 위치(구간) : 사하구 하단역(1호선) ~ 강서구 녹산동(녹산국가산업단지) | · 사업규모 : L = 13.47Km, 정거장 11개소, 차량기지 1개소 | · 총사업비 : 1,484,502백만원(공사 1,352,850, 보상 10,441, 기타 121,211) | ※ 재원부담 : 국비 60%, 시비 40%, LH 161,100백만원 | · 사업기간 : (계속) 2022년 ~ 2032년 | · 사업내용 : 서부산권 대규모 개발사업 가속화에 따른 인구집중 및 장래 교통수요 증가에 대비한 도시철도 인프라 확충 | · 사업성과 : 도시철도 소외지역 서비스 확대 제공으로 지역균형 발전 및 지역 개발촉진에 기여 | · 2022년~2032, 철도시설과","○ 요구내용(사업설명서 기반 초안) | ‘26년도 국비(37,000백만원)에 따른 시비 미매칭 금액(19,700백만원) 중 | 설계비(11,165백만원) 반영 | - 기본 및 실시설계용역 2차분(부산시) 계약 및 기타 용역(부산교통공사) 발주 | ▹ 기본 및 실시설계용역 1차분 준공 예정일 : ’26. 11. 24. | - 추경예산안(비교증감) | - 11,165 | 백만원(시비 11,165) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"40","철도시설과","도시철도 시설 효율화 추진(도시철도사업특별회계)","북부산 노포역 일원 종합개발 마스터플랜 수립용역(401-01)","40101","EXACT","1.08","투자심사조서","철도시설과","도시철도 시설 효율화 추진","1","R1003961427","100","246","","철도시설과","○ 요구내용(사업설명서 기반 초안) | 북부산 노포역 일원은 도시철도, 고속철도, 광역철도, 고속도로 등이 교차하는 | 대중교통결절지로서 부울경초광역권의 핵심거점으로 성장할 수 있는 개발잠재력이 | 상당히 높은 지역이나 현재는 상수원보호구역 및 개발제한구역 등의 토지이용 규제로 인하여 낙후되어 있는 실정임. | 도시철도 차량기지 재배치, 고속철도 노포역 신설 등과 연계하여 북부산 노포역 | 일원을 부울경 초광역권의 핵심거점으로 성장·발전시키기 위한 목적으로「북부산 | 노포역 일원 종합개발 마스터플랜 수립 용역」을 추진하기 위해 총 21억 원의 | 용역비 중 ‘26년 제3회 추경에 1억 원의 용역비를 편성하여야 함 | - 편성내용 | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"41","철도시설과","경부선 철도시설 효율화","경부선 철도지하화 통합개발 기본계획수립 용역 등(401-01)","40101","EXACT","1.08","투자심사조서","철도시설과","경부선 철도시설 효율화","1","R1002651016","132","293","","· 위치(구간): 경부선 구포~가야차량기지, 부산진역~부산역 일원 | · 사업규모: 기본계획수립용역, 전략환경영향평가 등 1식 | · 총사업비: 3,000백만원(시비) | · 사업기간: (계속) 2025년 ~ 2027년(3년간) | · 사업내용: 경부선 철도 지하화 사업을 위한「철도지하화통합개발법」제6조에 따른 기본계획수립 용역 등 | · 2025년~2027, 철도시설과","○ 요구내용(사업설명서 기반 초안) | - 경부선 도심구간 철도시설 지하화를 통해 도심 단절 해소와 혁신공간 조성을 | 추진하여 시민 삶의 질 향상 및 지역경제 활성화를 도모하기 위한 ‘경부선(부산진역~부산역) 철도 | 지하화 기본계획 수립용역’ 등 관련 용역 추진 | - 「철도지하화 통합개발법」 제6조에 따른 기본계획 수립 용역(2차수) 및 각종 | 제영향평가 | 용역 수행에 필요한 총 용역비 30억 원 중, | ’26년 3회 추경에 10억 원 | 편성 필요 | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"42","도시인프라개발과","다대포 블루코스트 해양단지 조성 (성인지예산, 중기주요사업)","복합해양레저관광도시 공모(201-01)","20101","UNMATCHED","0","경상심사조서","","","","","0","0","","· 사업기간 : (신규) 2026. 9월 ~ 2027. 6월 | · 시행주체 : 부산광역시 | · 추경예산안 : 50,000천원(시비) | · 사업내용 | 도시인프라개발과","○ 추진상황 | - ’26. 5. ‘27 복합해양레저관광도시 추가 선정 예산(부처안) 제출(→기획처) | - ’26. 9. 정부안 반영 | - ’27. 1.~6. 해수부 공모시행 | ○ 요구내용(사업설명서 기반 초안) | - 추경예산안 : 50,000천원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"43","도시인프라개발과","남부권 광역관광개발 (중기주요사업)","낙동선셋 화명에코파크 조성(가족애놀이터)(401-01)","40101","EXACT","1","투자심사조서","도시인프라개발과","남부권 광역관광개발(자본)","1","R1002758491","114","166","","· 위치(구간): 부산 북구 화명생태공원 일원(덕천동 763, 화명동 1718-15번지) | · 사업규모: 화명 가족애(愛) 놀이터 A=23,200㎡ (자연놀이마당,피크닉존)조성 | · 총사업비: 7,764 | ※ 재원부담: 국비 50% / 시비 50% ▷ 사업추진: 낙동강관리본부 | · 사업기간: (계속) 2025년 ~ 2028년(4년간) | · 2025년~2028, 도시인프라개발과","○ 요구내용(사업설명서 기반 초안) | - 문화체육관광부「남부권 광역관광 개발계획」1단계 선정 사업 본격 추진에 따른 단계별 사업비 확보 | (’25년 국비 178백만원, ’26년 국비 381백만원 확보에 따른 시비 매칭분) | - 문화체육관광부는 지방비 매칭이 확보되지 않을 경우 국비를 교부하지 않는다는 입장이므로, 매칭 재원 확보하여 국비 확보코자 함. | - 추경예산안(비교증감) | - 381백 | 만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"44","도시인프라개발과","남부권 광역관광개발 (중기주요사업)","낙동선셋 화명에코파크 조성(수상극장)(403-01)","40301","EXACT","1","투자심사조서","도시인프라개발과","남부권 광역관광개발(자본)","1","R1002658477","133","353","","· 위치(구간): 북구 화명생태공원 내 선착장일원(덕천동 763번지) | · 총사업비: 26,886 | ※ 재원부담: 국비 50% 시비 25%, 구비 25% | · 사업기간: (계속) 2025년 ~ 2028년(4년간) | · 2025년~2028, 도시인프라개발과","○ 요구내용(사업설명서 기반 초안) | - 문화체육관광부「남부권 광역관광 개발계획」1단계 선정 사업 본격 추진에 따른 단계별 사업비 확보 (’26년 국비 1,280백만원 확보 | 에 따른 시비 매칭분 | - 문화체육관광부는 지방비 매칭이 확보되지 않을 경우 국비를 교부하지 않는다는 입장이므로, 매칭 재원 확보하여 국비 확보코자 함. | - 추경예산안(비교증감) | - 161백만원(시비 161) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"45","도시인프라개발과","남부권 광역관광개발 (중기주요사업)","아미산 낙조 관광경관 명소화(403-01)","40301","EXACT","1","투자심사조서","도시인프라개발과","남부권 광역관광개발(자본)","1","R1002658477","133","353","","· 위치(구간): 사하구 다대동 1548-2, 482-3번지 일원 | · 사업규모 - 아미산 낙조 어반코어: 수직형 엘리베이터 타워 및 연결 보행교 A=800㎡ | · 총사업비: 19,580백만원(공사 17,740, 설계·감리 1,140, 진흥 700) | ※ 재원부담: 국비 50%, 시비 25%, 구비 25% | · 사업기간: (계속) 2024년 ~ 2028년(5년간) | · 사업내용: 아미산 낙조 어반코어 및 낙조광장 일루션라이트 조성, | · 사업성과: 남부권 대표 관광경관 명소 조성으로 지역 관광환경을 개선하고 관광경쟁력을 제고하여 국가균형발전 실현 | · 2024년~2028, 도시인프라개발과","○ 요구내용(사업설명서 기반 초안) | - 문화체육관광부「남부권 광역관광 개발계획」1단계 선정 사업 본격 추진에 따른 단계별 사업비 확보(’26년 국비 810백만원 확보 | 에 따른 시비 매칭분 | 문화체육관광부는 지방비 매칭이 확보되지 않을 경우 국비를 교부하지 않는다는 | 입장으로, ’26년 국비 810백만원 중 미교부된 220백만원 교부를 위해 매칭비율에 따라 지방비(시비 220백만원) 확보 필요 | - 추경예산안(비교증감) | - 220 | 백만원(시비 220) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"46","건설행정과","민간투자사업 유료도로 재정지원 (중기주요사업)","을숙도대교 민간투자사업 재정지원(406-01)","40601","EXACT","1.08","투자심사조서","건설행정과","민간투자사업 유료도로 재정지원","1","R0000220911","93","228","","· 위치(구간): 강서구 명지동 ~ 사하구 신평동 | · 사업규모: L= 5,210m, B= 23.5~35.0m | · 총사업비: 458,864백만원(기타) | ※ 재원부담: 시비 100% | · 사업기간: (계속) 2010년 ~ 2040년(30년간) | · 사업내용: 실시협약에 따른 통행료 미인상분 등 재정지원 | · 사업성과: 통행료미인상, 출퇴근 할인에 따른 이용시민의 통행료 부담 경감 | · 2010년~2040, 건설행정과","○ 요구내용(사업설명서 기반 초안) | - 실시협약 제60조 제3항에 따른 출퇴근면제 보전분 재정지원 | ※ 을숙도대교 민간투자사업 실시협약 | 제60조 주무관청의 귀책 사유 | ① 본 협약의 해석에 있어 다음 각 호의 사유들은 주무관청의 귀책사유로 간주된다. 3. | 본 협약에서 달리 규정하는 경우를 제외하고, 주무관청의 요청이나 방침 등으로 인하여 | 본 협약에 따라 조정, 결정된 통행료 보다 낮은 수준의 통행료를 징수하여야 하는 경우③ 본 협약에 달리 정한 경우를 제외하고, 제1항에 정한 사유가 발생하는 경우 주무관청은건설기간 중 사업시행자에게 실제 발생한 비용 또는 운영기간 중의 발생 손실에 대하여 사업시행자에게 보상하도록 한다. … | - 추경예산안(비교증감) | - 3,056 | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"47","건설행정과","민간투자사업 유료도로 재정지원 (중기주요사업)","거가대로 민간투자사업 재정지원(406-01)","40601","EXACT","1.08","투자심사조서","건설행정과","민간투자사업 유료도로 재정지원","1","R0000220911","93","228","","· 위치(구간): 부산시 강서구 천성동 ~ 경남 거제시 장목면 | · 사업규모: L= 8,204m, B= 20.5m | · 총사업비: 613,716백만원(기타) ※ 재원부담: 시비 100% | · 사업기간: (계속) 2011년 ~ 2050년(40년간) | · 사업내용: 실시협약에 따른 비용보장금액 미달분 재정지원 | · 사업성과: 비용보전방식 변경, 자금재조달 등 재정절감(약 2조8,673억원) | · 2011년~2050, 건설행정과","○ 요구내용(사업설명서 기반 초안) | - 재정지원금 산정근거중 적용 금리 대폭인상으로 연간 재정지원금 증가 예상 | (12월 발표 / 3.67% → 3.94%) | - 예측 대비 | 통행량 감소에 따른 사업운영수입 감소로 재정지원금 증가 | ※ 부산~거제간 연결도로 민간투자사업 실시협약 | 제55조 통행료수입 보장 및 환수 | ② 주무관청은 민간투자법, 민간투자법시행령, 민간투자사업기본계획 등에 따라 운영개시일로부터20년 기간 동안 매 운영년도의 부가가치세를 제외한 실제 통행료수입이 보장기준 통행료 수입에미달하는 경우, 제5항에 정한 방식에 따라그 부족액을 주무관청(내부분담은 부산광역시와 경상남도가1/2씩 부담)이 사업시행자에게 지급하되, … | - 추경예산안(비교증감) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"48","건설행정과","민간투자사업 유료도로 재정지원 (중기주요사업)","산성터널 민간투자사업 재정지원(406-01)","40601","EXACT","1.08","투자심사조서","건설행정과","민간투자사업 유료도로 재정지원","1","R0000220911","93","228","","· 위치(구간): 북구 화명동 ~ 금정구 장전동 | · 사업규모: L= 5,620m, B= 27~42m | · 총사업비: 424,623백만원(기타) | ※ 재원부담: 시비 100% | · 사업기간: (계속) 2018년 ~ 2048년(30년간) | · 사업내용: 실시협약에 따른 통행료미인상 보전금 등 재정지원 | · 사업성과: 통행료미인상에 따른 이용시민의 통행료 부담 경감 | · 2018년~2048, 건설행정과","○ 요구내용(사업설명서 기반 초안) | - 실시협약 제61조 제1항에 따라 통행료미인상 보전금 등 재정지원 | ※ 산성터널 민간투자사업 실시협약 | 제61조 불가항력 사유 및 처리 | ① 사업기간 중 본 협약의 해석에 있어 불가항력 사유로서 비정치적 불가항력 사유 및 이와 동일시취급되는 사유는 다음 각 호와 같다. 4. 민간투자법, 민간투자법시행령, 민간투자사업기본계획, 기타 사회기반시설에 대한 민간투자정책의 변경이 사업시행자에게 직접적이고 현저하게 불리한 영향을 미치는 경우 다만, 정부의 요구나 방침 등으로 인하여 본 협약에 따라 결정된 사용료보다 낮은 수준의 사용료를 징수하게 됨으로 인하여 발생하는 손실은 주무관청의 책임으로 함. | - 추경예산안(비교증감) | - 1,789 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"49","안전정책과","급경사지·산사태 안전산업 진흥시설 조성 지원 사업(국가직접지원) (중기주요사업)","급경사지 산사태 안전산업 진흥시설 조성(401-01등)","40101","EXACT","0.92","투자심사조서","안전정책과","급경사지·산사태 안전산업 진흥시설 조성 지원 사업(국가직접지원)","1","R1003948098","138","296","","· 사업규모: 진흥시설 조성 | · 총사업비: 16,374백만원(국비 7,000 시비 7,116, 현물 2,258) | ※ 재원부담: 국비 42.75%, 시비 43.46%, 기타(현물) 13.79% | · 사업기간: (계속) 2025년 ~ 2027년(3년간) | · 사업내용: 지역특성을 반영한 재난 | · 2025년~2027, 안전정책과","○ 요구내용(사업설명서 기반 초안) | - 급경사지·산사태 안전산업 진흥시설 조성지(부지·건물) 공유재산 취득 취소에 따른 자산취득비(1,926백만원) 중 불용 예정액(1,000백만원) 감액 조치 | - 추경예산안(비교증감) | - 추경예산 △1,000 | 백만원 | ▹ 시설비(401-01) : 926백만원 (△1,000백만원) | ▹ 공기관등에대한자본적위탁사업비(403-02) : 690백만원 | ※ 국가직접지원(국비) 1,500백만원, 민자(현물) 755백만원 별도 | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"50","자연재난과","자연재난 예방 홍보 및 교육","26년 폭염대책비(성립전)(201-01, 308-01, 401-01)","20101","EXACT","1.08","경상심사조서","자연재난과","자연재난 예방 홍보 및 교육","1","R0000120756","30","96","","· 시행주체 : 부산광역시, 구․군 | · 추경예산안(비교증감) | · 사업내용 | 자연재난과","○ 추진상황 | - ’26. 4. 사업 수요조사 실시 | - ’26. 5. 성립전사용 승인 요청 및 해양도시안전위원회 보고 | - ’26. 5.~12. 사업 진행(폭염피해 저감시설 설치 등) | - ’27. 1. 결과보고서 제출, 잔액 및 이자 정산 | ○ 요구내용(사업설명서 기반 초안) | - 추경예산안(비교증감) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"51","자연재난과","지진대비 인프라구축 (성인지예산, 중기주요사업)","지진안전 시설물 인증 지원(307-02)","30702","LIKELY","0.8","경상심사조서","자연재난과","지진안전 대책 추진(자연재난과)","1","R1001275698","96","171","별칭/재매칭","· 사업기간 : (계속) 2026년 | · 시행주체 : 민간지원(지정형) | · 추경예산안 | ※ 재원부담 : 국비 60%, 시비 40% | · 사업내용 | 자연재난과","○ 추진상황 | - ’26. 1. ’26년 지진안전 시설물 인증 지원사업 지원 공고 | - ’26. 6.~ ’26년 지방보조금심의 및 지원 대상 통보 | - ’24. 10.~12. 성능평가 용역 및 인증 완료 건축물 보조금 지원 | ○ 요구내용(사업설명서 기반 초안) | - 추경예산안 | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"52","자연재난과","재해위험지구 정비 (중기주요사업)","범일2지구 자연재해위험지 정비 (403-01)","40301","EXACT","1.08","투자심사조서","자연재난과","재해위험지구 정비","1","R1003947066","114","345","","· 위치(구간) : 동구 범일동 자성로 108번길 19(자성대아파트 일원) | · 사업규모 : 펌프시설 Q=945㎥/min, 저류조 V=4,800㎡ | · 총사업비 : 23,000백만원 (공사 12,450, 보상 8,700, 기타 1,850) | ※ 재원부담 : 국비 50%, 시비 25%, 구비 25% | · 사업기간: (계속) 2021년 ~ 2028년(8년간) | · 사업내용 : 상습침수지역인 범일2지구 내 배수펌프 및 관로정비 등 | · 사업성과 : 자성대아파트 일원 침수피해를 예방하여 주민의 생명과 재산 보호 | · 2021년~2028, 자연재난과","○ 요구내용(사업설명서 기반 초안) | - 자성대아파트 일원 침수피해를 예방사업을 위한 국비(1,500백만원) 사업비에 | 대한 지방비(시비) 미매칭분 반영 | - 추경예산안(비교증감) | - 750 | 백만원(국비-, 시비 750) ※ 구비 -백만원 별도 | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"53","자연재난과","재해위험지구 정비 (중기주요사업)","망미2지구 자연재해위험지 정비(403-01)","40301","EXACT","1.08","투자심사조서","자연재난과","재해위험지구 정비","1","R1003947066","114","345","","· 위치(구간) : 수영구 망미동 212-9번지 일원 | · 총사업비 : 38,500백만원 | ※ 재원부담 : 국비 50%, 시비 25%, 구비 25% | · 사업기간 : (계속) 2023년 ~ 2028년(5년간) | · 사업내용 : 상습침수지역인 망미2지구 내 고지배수로 및 관로정비 등 | · 사업성과 : 우리은행 일원 침수피해를 예방하여 주민의 생명과 재산보호 | · 2023년~2028, 자연재난과","○ 요구내용(사업설명서 기반 초안) | - 우리은행 일원 상습침수지 정비를 위한 국비(2,000백만원) 사업비에 | 대한 지방비(시비) 미매칭분 반영 | - 추경예산안(비교증감) | - 1,000 | 백만원(국비-, 시비 1,000) ※ 구비 -백만원 별도 | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"54","자연재난과","재해위험지구 정비 (중기주요사업)","금사1지구 자연재해위험지 정비(403-01)","40301","EXACT","1.08","투자심사조서","자연재난과","재해위험지구 정비","1","R1003947066","114","345","","· 위치(구간) : 금정구 금사동 154번지 일원 | · 총사업비 : 12,000백만원( | ※ 재원부담 : 국비 50%, 시비 25%, 구비 25% | · 사업기간 : (계속) 2023년 ~ 2028년(6년간) | · 사업내용 : 상습침수지역인 금사1지구 내 수문일체형 펌프 설치 등 | · 사업성과 : 보람공원 일원 침수피해를 예방하여 주민의 생명과 재산 보호 | · 2023년~2028, 자연재난과","○ 요구내용(사업설명서 기반 초안) | - 사업추진(예산집행) 현황에 따른 부산시 내 재해예방사업 지구간 사업비 | 변경(조정)에 따른 국비 조정(감500백만원) 편성 | ※금사1지구 국비 감500백만원 → 수영만지구 국비 증 500백만원 | - 추경예산안 | - △500백만원(국비 △500, 시 -) | ※ 구비 | △250 | 백만원 별도 | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
